                   n                    p                    t                    s
293 146.762995396399 146.767322711308 146.764437834702 
294 146.76300519213 146.76730311973 146.764437834663 
295 146.763014888414 146.76728372705 146.764437834626 
296 146.763024486591 146.767264530584 146.764437834589 
297 146.763033987981 146.767245527694 146.764437834552 
298 146.763043393881 146.767226715786 146.764437834516 
299 146.763052705567 146.76720809231 146.764437834481 
300 146.763061924291 146.767189654757 146.764437834446 
301 146.763071051288 146.76717140066 146.764437834412 
302 146.763080087771 146.767153327594 146.764437834379 
303 146.763089034932 146.767135433174 146.764437834346 
304 146.763097893944 146.767117715051 146.764437834313 
305 146.763106665963 146.767100170918 146.764437834281 
306 146.763115352122 146.767082798505 146.76443783425 
307 146.76312395354 146.767065595577 146.764437834219 
308 146.763132471314 146.767048559938 146.764437834189 
309 146.763140906526 146.767031689424 146.764437834159 
310 146.76314926024 146.767014981909 146.764437834129 
311 146.763157533501 146.766998435299 146.7644378341 
312 146.763165727339 146.766982047536 146.764437834072 
313 146.763173842769 146.766965816593 146.764437834044 
314 146.763181880787 146.766949740474 146.764437834016 
315 146.763189842375 146.766933817218 146.764437833989 
316 146.763197728498 146.766918044891 146.764437833962 
317 146.763205540107 146.766902421593 146.764437833936 
318 146.763213278139 146.766886945452 146.76443783391 
319 146.763220943514 146.766871614627 146.764437833884 
320 146.763228537138 146.766856427302 146.764437833859 
321 146.763236059906 146.766841381693 146.764437833835 
322 146.763243512695 146.766826476042 146.76443783381 
323 146.76325089637 146.766811708619 146.764437833786 
324 146.763258211785 146.766797077719 146.764437833763 
325 146.763265459777 146.766782581665 146.764437833739 
326 146.763272641172 146.766768218806 146.764437833717 
327 146.763279756785 146.766753987513 146.764437833694 
328 146.763286807415 146.766739886186 146.764437833672 
329 146.763293793852 146.766725913246 146.76443783365 
330 146.763300716873 146.76671206714 146.764437833629 
331 146.763307577243 146.766698346337 146.764437833607 
332 146.763314375715 146.76668474933 146.764437833586 
333 146.763321113032 146.766671274634 146.764437833566 
334 146.763327789925 146.766657920787 146.764437833546 
335 146.763334407115 146.766644686347 146.764437833526 
336 146.763340965312 146.766631569895 146.764437833506 
337 146.763347465213 146.766618570033 146.764437833487 
338 146.76335390751 146.766605685383 146.764437833468 
339 146.763360292879 146.766592914589 146.764437833449 
340 146.76336662199 146.766580256311 146.76443783343 
341 146.763372895502 146.766567709233 146.764437833412 
342 146.763379114063 146.766555272055 146.764437833394 
343 146.763385278315 146.766542943498 146.764437833376 
344 146.763391388887 146.766530722301 146.764437833359 
345 146.763397446402 146.766518607221 146.764437833342 
346 146.763403451471 146.766506597033 146.764437833325 
347 146.763409404697 146.766494690529 146.764437833308 
348 146.763415306678 146.766482886519 146.764437833291 
349 146.763421157997 146.766471183831 146.764437833275 
350 146.763426959235 146.766459581307 146.764437833259 
351 146.76343271096 146.766448077809 146.764437833243 
352 146.763438413735 146.766436672213 146.764437833228 
353 146.763444068114 146.76642536341 146.764437833212 
354 146.763449674642 146.766414150308 146.764437833197 
355 146.763455233858 146.766403031832 146.764437833182 
356 146.763460746292 146.766392006918 146.764437833168 
357 146.763466212469 146.76638107452 146.764437833153 
358 146.763471632905 146.766370233607 146.764437833139 
359 146.763477008107 146.766359483159 146.764437833125 
360 146.763482338579 146.766348822174 146.764437833111 
361 146.763487624815 146.766338249661 146.764437833097 
362 146.763492867303 146.766327764645 146.764437833083 
363 146.763498066524 146.766317366161 146.76443783307 
364 146.763503222954 146.766307053262 146.764437833057 
365 146.763508337061 146.766296825009 146.764437833044 
366 146.763513409307 146.76628668048 146.764437833031 
367 146.763518440146 146.766276618763 146.764437833018 
368 146.76352343003 146.766266638958 146.764437833006 
369 146.7635283794 146.766256740181 146.764437832994 
370 146.763533288695 146.766246921554 146.764437832981 
371 146.763538158346 146.766237182217 146.76443783297 
372 146.763542988778 146.766227521316 146.764437832958 
373 146.763547780413 146.766217938013 146.764437832946 
374 146.763552533663 146.766208431478 146.764437832935 
375 146.763557248938 146.766199000894 146.764437832923 
376 146.763561926642 146.766189645453 146.764437832912 
377 146.763566567172 146.76618036436 146.764437832901 
378 146.763571170921 146.766171156828 146.76443783289 
379 146.763575738277 146.766162022083 146.764437832879 
